outcome,modifier,n_sites,total_patients,total_events,beta_treatment,se_treatment,beta_modifier,se_modifier,beta_interaction,se_interaction,beta1_plus_beta3,se_beta1_plus_beta3,var_beta1,var_beta2,var_beta3,cov_beta1_beta2,cov_beta1_beta3,cov_beta2_beta3,converged,sites,rank_expansion
visits_depression,age_binary,5,11571,2516,0.024763361265967617,0.07698887160895282,0.027069799524292552,0.08625104571464265,-0.1178030863388472,0.12334019638996654,-0.09303972507287958,0.09634644757312838,0.005927286351619822,0.007439242886869375,0.015212804045515517,0.0029435038112480944,-0.005928726218586882,-0.007418165770322563,True,"Mayo, Penn, UF, UTSW, Yale",Yes
nco_1,age_binary,5,11571,1421,0.09903003239084973,0.10330236200057173,0.05923357881686276,0.1167390065867974,-0.13244484009987573,0.16429351831925754,-0.033414807709025995,0.12785000224242477,0.010671377994897167,0.013627995658872325,0.02699236016172021,0.005482631202130603,-0.010659057541614678,-0.013572759700703095,True,"Mayo, Penn, UF, UTSW, Yale",Yes
nco_2,age_binary,5,11571,1462,0.045055222368958495,0.10073279312546916,-0.10288518069268188,0.117455555296722,0.09268713372605492,0.16275352343831304,0.1377423560950134,0.12769204184189195,0.010147095610858567,0.013795807470061318,0.026488709391585506,0.005114512965237861,-0.010165273726346293,-0.01377565311227133,True,"Mayo, Penn, UF, UTSW, Yale",Yes
nco_3,age_binary,5,11571,1468,-0.05343907965371618,0.10216976643676205,0.02215020873582166,0.11250615028312448,-2.4715317616533846e-05,0.16140662447284326,-0.05346379497133271,0.12509621319467545,0.010438661173742508,0.01265763385152899,0.02605209842371745,0.004990119248989606,-0.010420848520906129,-0.012606037685329656,True,"Mayo, Penn, UF, UTSW, Yale",Yes
nco_4,age_binary,5,11571,1478,0.04472678050447593,0.10173350148984138,0.008616985939847822,0.11490683668847991,-0.013036563321511091,0.16154009737785105,0.03169021718296484,0.12533413970993015,0.010349705325383558,0.013203581117752992,0.0260952030608456,0.005196050248659139,-0.010368130904700434,-0.013189839387847421,True,"Mayo, Penn, UF, UTSW, Yale",Yes
nco_5,age_binary,5,11571,1502,0.028410772670484013,0.09974833769081615,0.11225828700514312,0.10984669403086275,-0.16418963777542,0.15757075006945384,-0.135778865104936,0.12219494135349351,0.009949730872081093,0.01206629618950998,0.024828541277450288,0.0049338610143026705,-0.00992333422857383,-0.012001590675781704,True,"Mayo, Penn, UF, UTSW, Yale",Yes
nco_6,age_binary,5,11571,1499,-0.09540293897471824,0.09836408359713565,-0.0843300495364099,0.1105037836151949,-0.01948425521015141,0.16003406866464084,-0.11488719418486965,0.1261855989855249,0.00967549294190429,0.012211086193273818,0.02561090313335898,0.004584401566308483,-0.009681795341963787,-0.012182097506746254,True,"Mayo, Penn, UF, UTSW, Yale",Yes
